date,dotw,hours.slept,on.time
1999-01-08T00:00:00Z,Friday,7,Yes
1999-01-15T00:00:00Z,Friday,5,No
1999-01-25T00:00:00Z,Monday,8,No
1999-01-28T00:00:00Z,Thursday,8,Yes
1999-02-09T00:00:00Z,Tuesday,6.0,Yes
1999-02-11T00:00:00Z,Thursday,7,No
1999-02-15T00:00:00Z,Monday,8,Yes
1999-02-19T00:00:00Z,Friday,10,Yes
1999-03-03T00:00:00Z,Wednesday,5,No
1999-03-04T00:00:00Z,Thursday,9,Yes
1999-03-05T00:00:00Z,Friday,8,Yes
1999-03-08T00:00:00Z,Monday,11,Yes
1999-03-15T00:00:00Z,Monday,8,Yes
1999-03-16T00:00:00Z,Tuesday,8,Yes
1999-03-17T00:00:00Z,Wednesday,6.5,No
1999-04-01T00:00:00Z,Thursday,7,Yes
1999-04-12T00:00:00Z,Monday,8,Yes
1999-04-20T00:00:00Z,Tuesday,10,Yes
1999-04-27T00:00:00Z,Tuesday,7,Yes
1999-05-05T00:00:00Z,Wednesday,6,No
1999-05-12T00:00:00Z,Wednesday,9,Yes
1999-05-13T00:00:00Z,Thursday,7,Yes
1999-05-17T00:00:00Z,Monday,7.5,Yes
1999-05-25T00:00:00Z,Tuesday,8,Yes
1999-05-27T00:00:00Z,Thursday,8,No
1999-06-01T00:00:00Z,Tuesday,7,Yes
1999-06-07T00:00:00Z,Monday,10,Yes
1999-06-11T00:00:00Z,Friday,6,No
1999-06-15T00:00:00Z,Tuesday,8,Yes
1999-06-24T00:00:00Z,Thursday,7.5,Yes
1999-07-01T00:00:00Z,Thursday,7,No
1999-07-06T00:00:00Z,Wednesday,5,Yes
1999-07-12T00:00:00Z,Monday,8,Yes
1999-07-20T00:00:00Z,Tuesday,9,Yes
1999-07-21T00:00:00Z,Wednesday,6,No
1999-07-23T00:00:00Z,Friday,8,Yes
1999-08-03T00:00:00Z,Tuesday,7,Yes
1999-08-05T00:00:00Z,Thursday,6,Yes
1999-08-16T00:00:00Z,Monday,8,Yes
1999-08-27T00:00:00Z,Friday,4,Yes
1999-08-31T00:00:00Z,Tuesday,7,Yes
1999-09-01T00:00:00Z,Wednesday,11,Yes
1999-09-10T00:00:00Z,Friday,7,Yes
1999-09-20T00:00:00Z,Monday,7,No
1999-09-23T00:00:00Z,Thursday,7.5,Yes
1999-09-28T00:00:00Z,Monday,8,Yes
1999-10-01T00:00:00Z,Friday,7,Yes
1999-10-04T00:00:00Z,Monday,6,Yes
1999-10-05T00:00:00Z,Tuesday,9,Yes
1999-10-14T00:00:00Z,Thursday,8,Yes
1999-10-22T00:00:00Z,Friday,7,No
1999-10-25T00:00:00Z,Monday,7,Yes
1999-10-27T00:00:00Z,Wednesday,8,Yes
1999-11-02T00:00:00Z,Tuesday,7,Yes
1999-11-03T00:00:00Z,Wednesday,8,Yes
1999-11-08T00:00:00Z,Monday,5,Yes
1999-11-18T00:00:00Z,Thursday,8,No
1999-12-01T00:00:00Z,Wednesday,7,Yes
1999-12-03T00:00:00Z,Friday,6,No
1999-12-06T00:00:00Z,Monday,6.5,Yes
1999-12-13T00:00:00Z,Monday,9,Yes
1999-12-16T00:00:00Z,Thursday,7,Yes
1999-12-21T00:00:00Z,Tuesday,8,Yes
